caseid,educ,age,religion,region,wealthCat,wealthDec,urban,,,,,,,
1 21  1,6,40,Evangelical / Protestant,Atlantida,Richer,72182,1,,,,,,,
1 21  9,6,21,Evangelical / Protestant,Atlantida,Richer,72182,1,,,,,,,
1 21 13,4,36,Evangelical / Protestant,Atlantida,Richer,72182,1,,,,,,,
1 41  2,0,28,Evangelical / Protestant,Atlantida,Poorer,-87333,1,,,,,,,
1 41  6,3,47,Evangelical / Protestant,Atlantida,Poorer,-87333,1,,,,,,,
1 51  2,6,30,Evangelical / Protestant,Atlantida,Richer,68430,1,,,,,,,
1 61  1,8,34,Evangelical / Protestant,Atlantida,Richer,68492,1,,,,,,,
1 81  2,9,35,Evangelical / Protestant,Atlantida,Richer,107906,1,,,,,,,
1 91  2,6,38,Evangelical / Protestant,Atlantida,Richer,89343,1,,,,,,,
1101  1,6,39,Evangelical / Protestant,Atlantida,Middle,-2983,1,,,,,,,
1111  2,6,37,Evangelical / Protestant,Atlantida,Richer,110593,1,,,,,,,
1121  1,6,43,Evangelical / Protestant,Atlantida,Richer,94266,1,,,,,,,
1171  2,5,42,Evangelical / Protestant,Atlantida,Richest,124377,1,,,,,,,
1201  2,6,30,Evangelical / Protestant,Atlantida,Richest,139766,1,,,,,,,
2 31  1,12,48,Catholic,Atlantida,Richer,60748,1,,,,,,,
2 41  1,6,27,Evangelical / Protestant,Atlantida,Richer,105864,1,,,,,,,
2 51  1,6,47,Evangelical / Protestant,Atlantida,Middle,15792,1,,,,,,,
2 71  2,11,32,Evangelical / Protestant,Atlantida,Richest,128382,1,,,,,,,
2 81  2,9,43,Evangelical / Protestant,Atlantida,Richest,177477,1,,,,,,,
2 91  2,7,36,Evangelical / Protestant,Atlantida,Richest,150976,1,,,,,,,
2101  1,13,43,Catholic,Atlantida,Richest,160418,1,,,,,,,
2141  2,12,31,Catholic,Atlantida,Richest,128374,1,,,,,,,
2171  2,12,22,Evangelical / Protestant,Atlantida,Richer,90641,1,,,,,,,
2191  1,6,43,Evangelical / Protestant,Atlantida,Richer,116958,1,,,,,,,
3 21  1,2,48,Catholic,Atlantida,Richer,92270,1,,,,,,,
3 31  1,0,47,Evangelical / Protestant,Atlantida,Middle,30413,1,,,,,,,
3 41  2,8,23,Evangelical / Protestant,Atlantida,Middle,13883,1,,,,,,,
3 51  2,7,18,Evangelical / Protestant,Atlantida,Middle,34878,1,,,,,,,
3 71  2,11,21,Evangelical / Protestant,Atlantida,Richer,116114,1,,,,,,,
3 91  1,6,44,Evangelical / Protestant,Atlantida,Richest,121335,1,,,,,,,
3101  2,7,23,Evangelical / Protestant,Atlantida,Middle,-29478,1,,,,,,,
3111  2,6,22,Evangelical / Protestant,Atlantida,Richer,87599,1,,,,,,,
3121  2,12,36,Catholic,Atlantida,Richest,190132,1,,,,,,,
3131  2,6,35,No religion,Atlantida,Richer,107190,1,,,,,,,
3141  1,6,47,Evangelical / Protestant,Atlantida,Richer,101898,1,,,,,,,
3151  2,7,15,Catholic,Atlantida,Middle,6536,1,,,,,,,
3171  1,6,26,Evangelical / Protestant,Atlantida,Richer,74864,1,,,,,,,
3181  1,6,31,Evangelical / Protestant,Atlantida,Richest,153399,1,,,,,,,
3191  2,6,43,Evangelical / Protestant,Atlantida,Richest,156586,1,,,,,,,
4 11  2,12,40,Catholic,Atlantida,Richest,126929,1,,,,,,,
4 21  1,6,38,Evangelical / Protestant,Atlantida,Middle,35245,1,,,,,,,
4 41  2,9,25,Evangelical / Protestant,Atlantida,Richer,109549,1,,,,,,,
4 51  5,6,20,No religion,Atlantida,Richer,96931,1,,,,,,,
4 61  1,9,31,Catholic,Atlantida,Richer,101076,1,,,,,,,
4 91  2,9,30,No religion,Atlantida,Middle,46595,1,,,,,,,
4101  2,6,32,Evangelical / Protestant,Atlantida,Middle,-26635,1,,,,,,,
4111  1,6,36,Evangelical / Protestant,Atlantida,Richer,77635,1,,,,,,,
4131  2,7,30,No religion,Atlantida,Richer,91833,1,,,,,,,
4151  2,6,39,Evangelical / Protestant,Atlantida,Richer,58371,1,,,,,,,
4161  2,5,43,Evangelical / Protestant,Atlantida,Middle,32967,1,,,,,,,
4171  2,6,48,Catholic,Atlantida,Richer,97196,1,,,,,,,
4171  3,6,28,Evangelical / Protestant,Atlantida,Richer,97196,1,,,,,,,
4181  2,2,31,Evangelical / Protestant,Atlantida,Middle,43783,1,,,,,,,
4191  2,4,31,Evangelical / Protestant,Atlantida,Middle,-21875,1,,,,,,,
5 51  1,6,29,Evangelical / Protestant,Atlantida,Richest,124276,1,,,,,,,
5 61  2,6,22,Catholic,Atlantida,Richer,83550,1,,,,,,,
5 81  2,12,23,Evangelical / Protestant,Atlantida,Richer,76342,1,,,,,,,
5111  2,12,37,Catholic,Atlantida,Richer,50223,1,,,,,,,
5131  2,9,25,Evangelical / Protestant,Atlantida,Richer,108359,1,,,,,,,
5151  4,12,31,Catholic,Atlantida,Richest,160553,1,,,,,,,
5161  2,6,39,Evangelical / Protestant,Atlantida,Richer,73970,1,,,,,,,
5171  2,12,34,Evangelical / Protestant,Atlantida,Richest,152632,1,,,,,,,
5201  1,6,35,Evangelical / Protestant,Atlantida,Richer,74638,1,,,,,,,
6 31  2,17,37,Evangelical / Protestant,Atlantida,Richest,183221,1,,,,,,,
6 61  2,6,36,Catholic,Atlantida,Richest,141801,1,,,,,,,
6 71  2,6,36,Evangelical / Protestant,Atlantida,Richer,97594,1,,,,,,,
6 81  1,12,35,Evangelical / Protestant,Atlantida,Richer,88459,1,,,,,,,
6 91  6,8,26,Evangelical / Protestant,Atlantida,Richer,58073,1,,,,,,,
6101  1,9,49,Catholic,Atlantida,Richer,89089,1,,,,,,,
6111  2,12,35,Evangelical / Protestant,Atlantida,Richer,58385,1,,,,,,,
6131  1,12,44,Evangelical / Protestant,Atlantida,Richest,188711,1,,,,,,,
6131  4,12,48,Catholic,Atlantida,Richest,188711,1,,,,,,,
6141  2,6,27,Evangelical / Protestant,Atlantida,Richer,103997,1,,,,,,,
6161  2,6,29,Evangelical / Protestant,Atlantida,Richer,89922,1,,,,,,,
6191  2,6,36,Evangelical / Protestant,Atlantida,Richer,100042,1,,,,,,,
6201  2,11,25,Evangelical / Protestant,Atlantida,Richest,161981,1,,,,,,,
7 11  4,9,33,Catholic,Atlantida,Richer,69751,1,,,,,,,
7 11  9,11,23,Catholic,Atlantida,Richer,69751,1,,,,,,,
7 31  2,3,35,Evangelical / Protestant,Atlantida,Richer,83294,1,,,,,,,
7 41  2,7,25,Evangelical / Protestant,Atlantida,Richer,51491,1,,,,,,,
7 51  2,6,34,Catholic,Atlantida,Middle,38820,1,,,,,,,
7101  2,8,28,Catholic,Atlantida,Middle,-22564,1,,,,,,,
7111  1,6,45,No religion,Atlantida,Middle,21038,1,,,,,,,
7121  2,6,39,Evangelical / Protestant,Atlantida,Middle,-3123,1,,,,,,,
7141  2,4,47,Evangelical / Protestant,Atlantida,Richest,126086,1,,,,,,,
7141  7,4,28,Evangelical / Protestant,Atlantida,Richest,126086,1,,,,,,,
7171  1,11,37,Catholic,Atlantida,Richest,163511,1,,,,,,,
7191  2,9,45,Catholic,Atlantida,Middle,-5772,1,,,,,,,
7201  3,11,23,Catholic,Atlantida,Richer,61670,1,,,,,,,
7201  5,10,22,Catholic,Atlantida,Richer,61670,1,,,,,,,
8 11  2,15,27,Catholic,Atlantida,Richest,187836,1,,,,,,,
8 11  5,12,26,Catholic,Atlantida,Richest,187836,1,,,,,,,
8 11  7,15,35,Catholic,Atlantida,Richest,187836,1,,,,,,,
8 21  7,14,31,Catholic,Atlantida,Richest,131293,1,,,,,,,
8 31  2,12,48,Catholic,Atlantida,Richest,186540,1,,,,,,,
8 41  1,12,35,Catholic,Atlantida,Richest,197259,1,,,,,,,
8 81  3,15,26,Evangelical / Protestant,Atlantida,Richest,188269,1,,,,,,,
8111  1,13,31,Evangelical / Protestant,Atlantida,Richest,150017,1,,,,,,,
8171  2,11,25,Evangelical / Protestant,Atlantida,Richest,207944,1,,,,,,,
8181  1,16,29,Catholic,Atlantida,Richest,177513,1,,,,,,,
8191  2,17,33,Catholic,Atlantida,Richest,202892,1,,,,,,,
9 11  1,11,41,Evangelical / Protestant,Atlantida,Richer,113766,1,,,,,,,
9 21  2,12,26,Evangelical / Protestant,Atlantida,Richest,168650,1,,,,,,,
9 51  1,17,42,Catholic,Atlantida,Richest,172491,1,,,,,,,
9 61  4,16,36,Catholic,Atlantida,Richest,209932,1,,,,,,,
9 71  2,12,49,Catholic,Atlantida,Richest,174724,1,,,,,,,
9 91  2,9,38,Catholic,Atlantida,Richest,203699,1,,,,,,,
9121  2,10,24,Evangelical / Protestant,Atlantida,Richest,123007,1,,,,,,,
9151  2,8,36,Evangelical / Protestant,Atlantida,Richest,182025,1,,,,,,,
9191  2,12,35,Catholic,Atlantida,Richest,187265,1,,,,,,,
9201  1,12,31,Evangelical / Protestant,Atlantida,Richest,176773,1,,,,,,,
10 11  2,9,30,Evangelical / Protestant,Atlantida,Richest,120525,1,,,,,,,
10 21  1,0,35,No religion,Atlantida,Richer,91872,1,,,,,,,
10 21  6,6,16,Evangelical / Protestant,Atlantida,Richer,91872,1,,,,,,,
10 31  1,6,22,Evangelical / Protestant,Atlantida,Poorer,-42892,1,,,,,,,
10 51  6,12,27,Evangelical / Protestant,Atlantida,Richer,101625,1,,,,,,,
10 51 10,11,22,Catholic,Atlantida,Richer,101625,1,,,,,,,
10 61  1,7,25,Evangelical / Protestant,Atlantida,Middle,4293,1,,,,,,,
10 71  1,6,30,Evangelical / Protestant,Atlantida,Poorer,-38613,1,,,,,,,
10 81  1,6,47,Evangelical / Protestant,Atlantida,Richest,125857,1,,,,,,,
10 91  2,13,43,Evangelical / Protestant,Atlantida,Richest,188496,1,,,,,,,
10101  3,8,31,Evangelical / Protestant,Atlantida,Richer,96927,1,,,,,,,
10111  1,12,28,Evangelical / Protestant,Atlantida,Richest,139895,1,,,,,,,
10131  2,12,37,Catholic,Atlantida,Richest,158310,1,,,,,,,
10141  2,9,29,No religion,Atlantida,Middle,-6657,1,,,,,,,
